RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,58,205.0,8,15,4,0,0,100,125.0,7,7,16,3,25,36.0,3,3,91.0,,3.0,1.0,1.0,100.0
Bad,68,125.0,9,95,14,3,3,94,58.0,2,2,16,1,50,7.0,0,0,14.0,97.0,2.0,2.0,0.0,57.0
Good,78,202.0,2,70,15,0,0,94,63.0,7,6,17,4,18,1.0,1,1,10.0,,4.0,1.0,0.0,38.0
Bad,74,264.0,11,64,28,0,0,96,29.0,7,6,58,1,29,36.0,5,5,37.0,,5.0,2.0,1.0,44.0
Good,76,186.0,1,83,21,0,0,96,11.0,6,6,25,4,28,36.0,2,2,12.0,,3.0,2.0,0.0,44.0
Good,75,289.0,3,83,39,1,1,95,33.0,7,2,42,2,33,3.0,1,1,21.0,,3.0,1.0,1.0,50.0
Bad,68,69.0,8,42,10,0,0,90,125.0,7,7,10,1,40,0.0,3,2,79.0,72.0,3.0,2.0,1.0,100.0
Good,80,49.0,7,27,7,0,0,100,125.0,7,7,7,1,71,1.0,1,1,0.0,82.0,0.0,1.0,0.0,33.0
Bad,77,516.0,14,110,10,0,0,90,14.0,7,6,10,0,30,0.0,1,1,55.0,79.0,3.0,2.0,1.0,86.0
Bad,64,237.0,13,88,7,3,3,70,18.0,7,3,10,0,70,36.0,0,0,34.0,88.0,1.0,1.0,0.0,67.0
Bad,58,67.0,2,28,14,0,0,100,125.0,7,7,15,3,7,1.0,2,2,69.0,,9.0,1.0,2.0,83.0
Bad,66,502.0,4,145,34,0,0,97,36.0,7,6,37,4,27,4.0,3,3,80.0,53.0,17.0,3.0,12.0,83.0
Bad,76,66.0,2,31,5,0,0,100,125.0,7,7,7,3,0,0.0,1,1,47.0,,3.0,2.0,2.0,100.0
Bad,72,254.0,11,68,18,0,0,95,1.0,6,6,24,1,16,4.0,1,1,3.0,19.0,4.0,3.0,0.0,58.0
Bad,60,205.0,4,74,32,0,0,88,4.0,6,6,34,5,59,36.0,4,4,32.0,62.0,4.0,3.0,0.0,80.0
Bad,90,406.0,1,146,10,0,0,100,125.0,7,7,11,1,36,36.0,0,0,0.0,,2.0,1.0,0.5,60.0
Good,75,224.0,19,97,21,0,0,100,125.0,7,7,21,0,33,36.0,0,0,57.0,49.0,2.0,2.0,2.0,36.0
Bad,54,94.0,1,44,16,0,0,88,1.0,6,6,17,4,29,0.0,1,1,58.0,94.0,4.0,2.0,3.0,75.0
Bad,54,336.0,13,93,17,1,1,89,4.0,4,4,18,0,33,0.0,4,4,65.0,53.0,4.0,2.0,2.0,75.0
Bad,71,158.0,1,71,29,0,0,100,125.0,7,7,30,6,30,0.0,2,2,39.0,94.0,5.0,3.0,2.0,67.0
Good,64,228.0,5,84,60,0,0,95,23.0,7,6,60,4,38,0.0,0,0,35.0,,10.0,2.0,3.0,68.0
Bad,57,68.0,4,37,15,0,0,81,31.0,7,6,16,3,50,0.0,1,1,98.0,85.0,4.0,4.0,1.0,80.0
Bad,77,221.0,0,64,31,0,0,94,14.0,7,6,36,4,51,36.0,1,0,9.0,88.0,3.0,6.0,0.0,45.0
Bad,57,130.0,6,38,15,0,0,80,1.0,6,6,15,1,27,13.0,0,0,84.0,71.0,6.0,3.0,4.0,82.0
Bad,80,271.0,9,62,12,0,0,92,9.0,6,6,12,1,33,36.0,0,0,29.0,50.0,1.0,2.0,0.0,60.0
Good,85,176.0,3,95,12,0,0,100,125.0,7,7,14,1,21,0.0,0,0,26.0,,3.0,2.0,0.0,100.0
Good,91,240.0,22,118,8,0,0,100,125.0,7,7,8,0,0,0.0,0,0,5.0,,3.0,2.0,0.0,50.0
Bad,83,195.0,4,94,18,0,0,100,125.0,7,7,18,2,28,4.0,1,1,25.0,56.0,2.0,2.0,0.0,44.0
Good,71,167.0,31,84,21,0,0,96,37.0,7,6,23,0,13,36.0,0,0,55.0,,5.0,1.0,3.0,60.0
Bad,76,108.0,14,58,18,1,0,95,62.0,7,5,19,0,42,0.0,0,0,20.0,,4.0,2.0,1.0,86.0
Bad,75,169.0,2,59,21,0,0,100,125.0,7,7,22,4,36,36.0,4,4,43.0,112.0,4.0,6.0,0.0,83.0
Good,74,332.0,15,113,19,0,0,95,32.0,7,6,20,0,35,21.0,0,0,58.0,65.0,5.0,3.0,1.0,57.0
Bad,54,232.0,2,91,19,0,0,70,2.0,6,6,23,3,48,0.0,1,1,97.0,36.0,6.0,3.0,0.0,90.0
Good,77,155.0,20,94,13,0,0,100,125.0,7,7,15,0,53,0.0,0,0,42.0,55.0,3.0,1.0,0.0,50.0
Bad,60,37.0,9,22,11,0,0,100,125.0,7,7,11,1,55,36.0,8,8,112.0,61.0,3.0,1.0,0.0,100.0
Good,91,262.0,19,101,9,0,0,100,125.0,7,7,9,0,0,19.0,0,0,8.0,,2.0,2.0,0.0,50.0
Bad,66,79.0,3,31,19,0,0,100,125.0,7,7,20,1,45,0.0,5,5,81.0,68.0,6.0,4.0,1.0,100.0
Bad,51,169.0,5,70,19,0,0,62,2.0,6,6,21,1,33,0.0,0,0,87.0,48.0,5.0,2.0,4.0,64.0
Bad,69,165.0,4,62,12,0,0,92,75.0,7,6,12,2,58,0.0,1,1,97.0,71.0,4.0,1.0,3.0,100.0
Good,75,180.0,4,49,17,0,0,100,125.0,7,7,19,2,26,36.0,1,1,100.0,57.0,1.0,2.0,1.0,50.0
Good,90,162.0,12,99,19,0,0,100,125.0,7,7,21,0,52,0.0,0,0,3.0,,3.0,1.0,0.0,67.0
Bad,59,136.0,6,42,18,0,0,89,17.0,7,6,18,4,28,0.0,1,1,44.0,99.0,5.0,2.0,3.0,50.0
Good,64,230.0,11,108,35,0,0,92,4.0,6,6,39,1,47,2.0,1,1,56.0,40.0,7.0,8.0,2.0,83.0
Good,80,88.0,8,48,16,0,0,100,125.0,7,7,16,2,25,36.0,0,0,3.0,,2.0,1.0,0.0,38.0
Good,91,270.0,23,132,16,0,0,100,125.0,7,7,16,0,13,0.0,0,0,6.0,,3.0,1.0,0.0,50.0
Good,91,278.0,29,123,17,0,0,100,125.0,7,7,19,0,32,0.0,0,0,1.0,,4.0,1.0,0.0,63.0
Good,65,155.0,1,89,6,1,0,78,8.0,6,5,9,1,33,0.0,4,4,50.0,74.0,1.0,3.0,0.0,67.0
Bad,69,160.0,5,109,11,1,1,92,20.0,7,3,13,1,31,36.0,0,0,94.0,,3.0,2.0,3.0,100.0
Bad,87,115.0,11,59,9,0,0,100,125.0,7,7,9,2,78,36.0,1,1,0.0,,0.0,2.0,0.0,50.0
Good,88,441.0,18,113,17,0,0,100,125.0,7,7,19,0,17,22.0,0,0,0.0,,1.0,2.0,0.0,43.0
Bad,67,235.0,5,39,11,0,0,91,6.0,6,6,30,3,27,36.0,1,1,47.0,78.0,3.0,2.0,0.0,71.0
Good,64,180.0,2,40,27,0,0,100,125.0,7,7,30,6,7,36.0,5,5,32.0,,7.0,1.0,3.0,47.0
Bad,70,45.0,3,27,3,0,0,100,125.0,7,7,4,1,67,0.0,1,1,55.0,45.0,1.0,1.0,0.0,100.0
Good,73,255.0,12,40,10,0,0,100,125.0,7,7,35,0,30,36.0,3,3,62.0,73.0,3.0,2.0,2.0,83.0
Good,82,258.0,8,118,22,1,0,91,78.0,7,5,23,2,43,36.0,0,0,39.0,66.0,2.0,2.0,0.0,57.0
Bad,72,293.0,13,138,4,2,1,83,32.0,7,5,6,0,50,0.0,1,1,0.0,,0.0,1.0,0.5,50.0
Good,64,169.0,2,76,64,0,0,98,63.0,7,6,66,4,21,0.0,1,1,53.0,,15.0,2.0,4.0,62.0
Good,81,419.0,11,240,13,0,0,100,125.0,7,7,13,1,8,11.0,0,0,55.0,,3.0,2.0,1.0,50.0
Bad,68,514.0,14,104,14,0,0,94,10.0,6,6,16,0,50,0.0,0,0,42.0,,4.0,2.0,0.0,80.0
Bad,80,93.0,5,45,6,0,0,100,125.0,7,7,6,2,50,36.0,9,7,7.0,83.0,1.0,1.0,0.0,67.0
Good,65,192.0,6,79,22,3,2,78,44.0,7,2,27,3,26,8.0,1,0,59.0,80.0,7.0,2.0,2.0,90.0
Bad,70,241.0,2,104,23,1,0,70,26.0,7,5,27,1,52,0.0,1,1,43.0,53.0,5.0,2.0,0.0,89.0
Bad,59,163.0,18,80,5,1,1,83,63.0,7,6,6,0,83,6.0,0,0,101.0,42.0,1.0,2.0,1.0,100.0
Good,92,206.0,8,122,11,0,0,100,125.0,7,7,20,1,15,1.0,1,1,1.0,,2.0,1.0,0.0,60.0
Bad,61,159.0,2,80,27,3,2,74,5.0,6,2,32,2,10,36.0,1,1,21.0,,5.0,1.0,2.0,50.0
Good,84,311.0,10,85,26,0,0,100,125.0,7,7,26,1,31,0.0,0,0,8.0,23.0,3.0,2.0,0.0,36.0
Good,74,205.0,24,102,24,1,1,88,5.0,6,4,41,0,15,36.0,1,1,6.0,58.0,2.0,3.0,0.0,63.0
Bad,66,389.0,39,114,19,1,0,78,17.0,7,5,23,0,35,0.0,6,6,62.0,,3.0,2.0,2.0,63.0
Bad,58,163.0,2,67,23,1,0,81,3.0,6,5,27,4,52,0.0,5,5,40.0,79.0,7.0,5.0,1.0,93.0
Bad,59,185.0,7,76,21,0,0,83,11.0,6,6,24,2,63,0.0,3,3,59.0,64.0,2.0,6.0,2.0,73.0
Good,77,118.0,5,58,36,0,0,97,56.0,7,6,38,2,11,5.0,0,0,6.0,42.0,1.0,2.0,0.0,27.0
Good,76,348.0,7,119,29,0,0,100,125.0,7,7,29,1,28,0.0,0,0,33.0,89.0,10.0,2.0,1.0,65.0
Good,58,71.0,2,31,20,0,0,91,8.0,6,6,22,6,41,0.0,0,0,35.0,81.0,2.0,3.0,1.0,56.0
Good,85,214.0,5,79,28,0,0,97,39.0,7,6,33,1,33,14.0,0,0,7.0,,3.0,2.0,0.0,50.0
Good,80,263.0,14,84,23,0,0,96,63.0,7,6,23,0,52,0.0,0,0,8.0,33.0,4.0,3.0,0.0,70.0
Bad,75,160.0,2,82,46,0,0,100,125.0,7,7,48,2,17,0.0,3,3,19.0,,10.0,3.0,1.0,41.0
Bad,80,94.0,3,49,27,0,0,100,125.0,7,7,28,1,14,0.0,2,2,21.0,,4.0,1.0,0.0,45.0
Bad,63,257.0,12,84,31,0,0,97,14.0,7,6,61,0,29,0.0,4,4,70.0,73.0,10.0,3.0,5.0,70.0
Bad,62,343.0,3,154,16,9,4,60,28.0,7,2,25,2,20,0.0,3,3,59.0,,4.0,2.0,1.0,67.0
Good,60,273.0,3,126,32,4,4,89,2.0,6,6,35,3,11,0.0,0,0,37.0,74.0,16.0,2.0,0.0,95.0
Good,71,155.0,1,71,24,0,0,100,125.0,7,7,25,3,32,3.0,3,3,54.0,,3.0,1.0,1.0,100.0
Bad,65,249.0,2,70,32,1,1,94,14.0,7,6,33,2,18,36.0,2,2,48.0,,8.0,1.0,1.0,45.0
Bad,63,378.0,10,84,36,1,1,89,10.0,6,4,37,2,54,0.0,2,2,60.0,67.0,4.0,6.0,3.0,77.0
Bad,70,211.0,25,107,14,0,0,86,3.0,6,6,14,0,29,0.0,0,0,13.0,58.0,3.0,2.0,0.0,56.0
Bad,42,179.0,1,72,50,9,6,69,0.0,2,2,62,5,53,36.0,2,2,92.0,94.0,4.0,5.0,4.0,100.0
Bad,74,66.0,6,36,10,0,0,100,125.0,7,7,10,1,40,0.0,3,0,41.0,94.0,2.0,1.0,1.0,75.0
Good,73,138.0,5,76,5,1,1,75,25.0,7,4,8,1,63,0.0,2,2,0.0,92.0,0.0,2.0,0.5,67.0
Good,77,170.0,10,84,25,0,0,100,125.0,7,7,26,1,12,36.0,2,2,58.0,46.0,3.0,1.0,2.0,50.0
Bad,84,380.0,10,100,15,0,0,100,125.0,7,7,51,1,27,5.0,0,0,0.0,87.0,1.0,2.0,0.0,33.0
Good,73,209.0,11,84,22,1,0,87,29.0,7,5,23,1,43,0.0,1,1,6.0,84.0,2.0,2.0,1.0,31.0
Good,77,195.0,22,87,24,0,0,100,125.0,7,7,46,0,13,4.0,1,1,49.0,,6.0,1.0,1.0,58.0
Bad,73,41.0,10,23,7,0,0,100,125.0,7,7,7,3,29,0.0,5,5,17.0,,1.0,1.0,1.0,33.0
Good,91,283.0,9,140,7,0,0,100,125.0,7,7,7,1,29,0.0,0,0,11.0,,2.0,1.0,0.0,60.0
Good,66,130.0,8,49,15,1,1,88,33.0,7,2,16,1,81,0.0,0,0,78.0,83.0,1.0,5.0,0.5,100.0
Good,66,305.0,36,134,26,1,0,90,8.0,6,5,29,0,28,5.0,0,0,46.0,,6.0,2.0,3.0,62.0
Bad,72,103.0,9,58,16,2,0,89,59.0,7,5,19,1,6,1.0,1,1,14.0,,2.0,2.0,1.0,18.0
Bad,58,108.0,4,49,11,2,1,57,6.0,6,2,14,3,71,0.0,4,3,0.0,74.0,1.0,4.0,0.5,83.0
Good,54,189.0,6,85,7,1,0,50,3.0,5,5,10,1,40,0.0,0,0,81.0,,4.0,1.0,1.0,100.0
Good,84,264.0,2,87,19,0,0,100,125.0,7,7,20,2,35,0.0,3,3,14.0,94.0,2.0,2.0,1.0,36.0
Bad,57,140.0,13,67,8,4,4,80,26.0,7,4,10,0,50,3.0,1,1,93.0,71.0,1.0,2.0,1.0,100.0
Bad,58,107.0,22,55,17,1,0,89,1.0,5,5,18,0,22,1.0,2,2,6.0,,5.0,1.0,0.0,60.0
Good,89,190.0,17,88,21,0,0,100,125.0,7,7,21,0,19,0.0,1,1,14.0,,3.0,1.0,0.0,50.0
Good,65,228.0,7,89,12,2,2,93,80.0,7,3,15,2,57,0.0,1,1,92.0,,1.0,1.0,1.0,100.0
Bad,91,291.0,7,88,26,0,0,100,125.0,7,7,26,2,35,7.0,0,0,0.0,,3.0,2.0,0.0,23.0
Bad,68,221.0,7,89,19,4,0,83,53.0,7,5,23,1,39,0.0,0,0,70.0,100.0,2.0,2.0,2.0,40.0
Bad,66,172.0,10,90,44,0,0,100,125.0,7,7,48,1,38,36.0,2,1,65.0,85.0,12.0,2.0,8.0,82.0
Bad,74,183.0,6,76,19,0,0,100,125.0,7,7,19,2,26,0.0,0,0,44.0,15.0,4.0,2.0,2.0,75.0
Bad,62,295.0,21,124,10,2,2,64,16.0,7,2,14,0,36,20.0,0,0,38.0,30.0,3.0,3.0,0.0,86.0
Bad,60,159.0,6,69,15,0,0,73,2.0,6,6,22,1,33,13.0,0,0,62.0,42.0,4.0,3.0,2.0,88.0
Bad,69,59.0,10,43,10,2,2,75,32.0,7,3,12,1,50,0.0,0,0,18.0,81.0,1.0,2.0,0.0,75.0
Bad,59,246.0,2,81,34,0,0,94,3.0,6,6,41,3,46,8.0,0,0,56.0,85.0,7.0,3.0,3.0,67.0
Bad,84,239.0,6,63,25,0,0,100,125.0,7,7,27,4,37,0.0,5,5,7.0,,2.0,2.0,0.0,20.0
Good,82,401.0,10,161,13,0,0,93,3.0,6,6,14,3,14,0.0,0,0,5.0,,2.0,2.0,0.0,40.0
Good,68,196.0,9,79,26,0,0,93,2.0,6,6,29,1,41,8.0,0,0,30.0,50.0,4.0,4.0,1.0,80.0
Bad,77,433.0,2,22,7,0,0,100,125.0,7,7,24,3,25,1.0,2,2,17.0,100.0,1.0,2.0,0.0,60.0
Bad,74,167.0,4,63,17,0,0,94,31.0,7,6,17,2,41,0.0,2,2,38.0,91.0,4.0,3.0,2.0,78.0
Bad,83,192.0,63,148,7,0,0,100,125.0,7,7,7,0,71,0.0,1,1,30.0,,3.0,1.0,0.5,100.0
Good,66,52.0,7,7,1,0,0,100,125.0,7,7,2,1,0,36.0,3,3,48.0,,1.0,2.0,0.5,100.0
Good,83,229.0,3,71,14,0,0,100,125.0,7,7,14,2,43,0.0,3,3,0.0,95.0,1.0,4.0,0.0,71.0
Good,80,223.0,5,96,25,0,0,100,125.0,7,7,25,4,36,0.0,1,1,18.0,83.0,5.0,3.0,1.0,53.0
Good,87,206.0,32,87,23,0,0,100,125.0,7,7,23,0,30,0.0,3,3,6.0,,1.0,2.0,0.0,13.0
Bad,76,114.0,7,51,23,0,0,100,125.0,7,7,23,6,35,0.0,0,0,1.0,90.0,1.0,3.0,0.0,50.0
Bad,81,76.0,10,49,12,0,0,100,125.0,7,7,12,1,17,0.0,0,0,27.0,,2.0,1.0,0.0,44.0
Bad,65,153.0,4,81,17,0,0,89,29.0,7,6,19,3,53,1.0,1,1,60.0,,4.0,2.0,0.0,86.0
Good,89,148.0,15,79,11,0,0,100,125.0,7,7,12,0,33,0.0,0,0,2.0,,3.0,1.0,0.0,80.0
Bad,69,153.0,32,85,3,0,0,100,125.0,7,7,3,0,100,36.0,2,1,30.0,10.0,3.0,1.0,0.5,100.0
Bad,58,195.0,2,57,26,0,0,100,125.0,7,7,27,4,33,36.0,4,4,72.0,100.0,9.0,2.0,3.0,92.0
Good,82,350.0,10,100,30,0,0,100,125.0,7,7,31,1,52,3.0,1,1,4.0,58.0,4.0,3.0,0.0,100.0
Bad,54,207.0,3,69,34,1,0,75,1.0,5,5,38,6,25,2.0,2,2,17.0,80.0,8.0,5.0,1.0,68.0
Bad,64,150.0,2,45,12,1,1,86,3.0,2,2,14,4,21,0.0,2,2,9.0,,4.0,1.0,0.5,56.0
Bad,79,275.0,7,102,38,0,0,95,22.0,7,6,38,2,16,0.0,2,2,2.0,,6.0,2.0,0.0,40.0
Bad,82,220.0,5,59,26,0,0,100,125.0,7,7,27,3,22,0.0,2,2,24.0,,4.0,1.0,1.0,63.0
Good,66,203.0,2,64,21,1,0,83,4.0,6,5,23,2,26,2.0,1,1,14.0,,3.0,2.0,0.0,38.0
Bad,72,118.0,4,55,14,0,0,100,125.0,7,7,14,2,36,36.0,1,1,76.0,,6.0,2.0,3.0,75.0
Bad,67,68.0,3,21,8,0,0,100,125.0,7,7,8,3,13,0.0,1,1,57.0,,3.0,1.0,0.0,67.0
Good,75,144.0,7,56,26,0,0,100,125.0,7,7,27,2,42,1.0,1,1,32.0,62.0,3.0,4.0,1.0,67.0
Bad,63,175.0,7,62,13,1,1,71,16.0,7,6,14,2,64,0.0,6,6,50.0,100.0,5.0,3.0,0.0,100.0
Bad,68,178.0,3,85,21,0,0,100,125.0,7,7,22,3,43,2.0,7,7,66.0,3.0,3.0,3.0,1.0,100.0
Good,90,179.0,13,86,12,0,0,100,125.0,7,7,12,0,25,0.0,4,4,0.0,,2.0,1.0,0.0,50.0
Good,74,254.0,11,85,10,0,0,100,125.0,7,7,10,1,50,4.0,1,1,93.0,38.0,2.0,3.0,2.0,100.0
Bad,69,39.0,4,23,7,1,0,88,14.0,7,5,8,2,13,0.0,8,8,19.0,,3.0,2.0,0.0,50.0
Bad,65,180.0,2,81,7,2,0,73,15.0,7,5,11,2,18,0.0,0,0,81.0,,2.0,1.0,1.0,100.0
Bad,72,185.0,3,75,24,0,0,96,52.0,7,6,26,2,38,0.0,2,2,43.0,88.0,5.0,2.0,2.0,70.0
Good,81,194.0,11,91,17,0,0,100,125.0,7,7,17,1,41,3.0,2,2,79.0,50.0,1.0,1.0,1.0,100.0
Good,77,188.0,3,64,27,0,0,100,125.0,7,7,27,2,15,36.0,1,1,22.0,62.0,2.0,3.0,0.0,45.0
Good,74,222.0,3,102,24,1,1,96,50.0,7,2,27,2,37,0.0,2,2,3.0,,3.0,2.0,0.0,27.0
Good,77,409.0,15,137,33,0,0,100,125.0,7,7,34,0,26,0.0,0,0,18.0,68.0,8.0,2.0,0.0,65.0
Bad,66,92.0,2,59,4,2,2,83,25.0,7,6,6,1,83,36.0,1,1,30.0,,1.0,1.0,0.5,100.0
Bad,72,221.0,3,76,13,0,0,100,125.0,7,7,13,4,54,0.0,3,3,75.0,96.0,5.0,4.0,2.0,100.0
Good,65,145.0,1,51,7,3,2,80,58.0,7,2,15,2,50,36.0,1,1,43.0,61.0,3.0,2.0,0.0,100.0
Good,87,254.0,31,106,14,0,0,100,125.0,7,7,14,0,43,0.0,2,2,5.0,,2.0,2.0,0.0,44.0
Good,87,255.0,10,111,32,0,0,100,125.0,7,7,32,2,13,3.0,1,1,2.0,,1.0,3.0,0.0,27.0
Bad,76,87.0,2,34,30,0,0,100,125.0,7,7,35,6,34,0.0,16,16,4.0,60.0,9.0,1.0,0.0,65.0
Good,80,173.0,8,62,17,0,0,100,125.0,7,7,18,2,67,0.0,1,1,21.0,93.0,3.0,3.0,0.0,100.0
Bad,73,124.0,5,41,8,0,0,100,125.0,7,7,8,2,50,36.0,0,0,84.0,76.0,2.0,3.0,2.0,83.0
Bad,61,254.0,14,112,13,0,0,94,7.0,6,6,16,0,44,36.0,4,3,63.0,77.0,5.0,5.0,3.0,91.0
Bad,73,374.0,8,85,27,0,0,96,16.0,7,6,27,1,26,0.0,1,1,38.0,11.0,4.0,3.0,2.0,70.0
Good,88,185.0,19,92,28,0,0,100,125.0,7,7,28,0,50,16.0,0,0,8.0,62.0,2.0,3.0,0.0,63.0
Bad,61,43.0,3,23,25,0,0,100,125.0,7,7,25,6,0,0.0,6,3,44.0,,12.0,2.0,3.0,52.0
Bad,64,330.0,10,112,8,1,0,67,6.0,6,5,9,1,33,0.0,0,0,84.0,89.0,4.0,2.0,2.0,75.0
Bad,55,234.0,13,83,20,1,0,70,1.0,5,5,24,0,22,4.0,3,3,46.0,24.0,8.0,3.0,2.0,72.0
Bad,68,164.0,3,59,40,1,1,93,17.0,7,4,43,5,47,0.0,1,1,24.0,78.0,7.0,12.0,1.0,76.0
Good,84,206.0,4,80,19,0,0,100,125.0,7,7,19,3,16,0.0,1,1,1.0,,2.0,1.0,0.0,43.0
Good,66,167.0,24,66,20,0,0,90,4.0,6,6,22,0,76,36.0,0,0,25.0,36.0,1.0,2.0,0.0,50.0
Good,86,181.0,3,89,11,0,0,100,125.0,7,7,11,1,9,1.0,2,2,5.0,,2.0,2.0,0.0,50.0
Good,87,254.0,21,92,26,0,0,100,125.0,7,7,26,0,23,0.0,1,1,0.0,,2.0,2.0,0.0,40.0
Bad,63,153.0,6,68,37,1,1,91,25.0,7,6,45,1,89,0.0,0,0,82.0,74.0,3.0,5.0,0.0,100.0
Bad,76,134.0,11,67,28,0,0,100,125.0,7,7,28,1,21,36.0,0,0,62.0,14.0,3.0,2.0,1.0,83.0
Bad,68,368.0,4,111,47,0,0,100,125.0,7,7,49,2,27,0.0,1,1,78.0,61.0,21.0,2.0,9.0,80.0
Bad,67,278.0,22,87,4,0,0,33,1.0,6,6,6,0,33,0.0,1,0,34.0,17.0,2.0,2.0,0.0,67.0
Good,77,347.0,5,172,18,0,0,100,125.0,7,7,18,1,6,0.0,0,0,32.0,,5.0,1.0,1.0,75.0
Good,83,257.0,5,68,22,0,0,100,125.0,7,7,22,2,41,1.0,2,2,2.0,60.0,3.0,6.0,0.0,64.0
Bad,76,107.0,30,57,5,0,0,83,14.0,7,6,6,0,50,0.0,0,0,30.0,,1.0,2.0,0.0,100.0
Bad,55,241.0,5,89,11,3,2,71,2.0,6,3,14,1,64,0.0,1,1,78.0,75.0,3.0,2.0,1.0,83.0
Bad,93,399.0,27,174,5,0,0,100,125.0,7,7,5,0,0,2.0,1,1,0.0,,0.0,2.0,0.0,0.0
Bad,64,139.0,22,109,3,2,1,80,7.0,5,5,5,0,60,0.0,2,2,30.0,,3.0,1.0,0.5,100.0
Bad,76,88.0,2,25,11,0,0,100,125.0,7,7,13,7,54,36.0,3,3,0.0,88.0,0.0,4.0,0.0,40.0
Good,78,215.0,1,91,14,0,0,100,125.0,7,7,15,1,33,0.0,1,1,62.0,,1.0,1.0,1.0,67.0
Good,87,155.0,4,70,35,0,0,100,125.0,7,7,36,1,19,0.0,0,0,2.0,,2.0,1.0,0.0,20.0
Bad,65,82.0,1,43,25,2,1,97,70.0,7,5,30,3,33,2.0,4,4,33.0,53.0,2.0,8.0,1.0,56.0
Bad,72,84.0,7,45,21,0,0,95,25.0,7,6,22,3,50,0.0,0,0,6.0,72.0,6.0,3.0,0.0,69.0
Good,86,269.0,5,80,25,0,0,100,125.0,7,7,25,1,16,4.0,1,1,2.0,,3.0,1.0,0.0,27.0
Good,73,161.0,4,73,43,1,1,84,31.0,7,4,44,1,20,0.0,8,8,30.0,91.0,5.0,3.0,1.0,35.0
Bad,64,246.0,16,106,5,3,3,88,57.0,7,3,8,0,88,36.0,1,1,30.0,144.0,3.0,4.0,0.5,100.0
Bad,88,163.0,11,87,9,0,0,90,63.0,7,6,10,1,20,0.0,0,0,2.0,,2.0,2.0,0.0,40.0
Bad,56,151.0,19,78,38,2,2,90,7.0,6,3,42,0,67,1.0,3,3,86.0,59.0,5.0,3.0,1.0,100.0
Good,92,343.0,14,154,18,0,0,100,125.0,7,7,18,0,28,0.0,0,0,3.0,,3.0,2.0,0.0,38.0
Bad,82,324.0,43,137,9,0,0,90,79.0,7,6,10,0,20,0.0,2,2,2.0,,1.0,2.0,0.0,25.0
Good,67,159.0,6,96,8,1,1,89,63.0,7,6,9,2,22,0.0,10,10,77.0,,5.0,2.0,0.0,71.0
Bad,77,154.0,3,55,31,0,0,100,125.0,7,7,32,6,63,2.0,2,1,26.0,74.0,5.0,14.0,0.0,86.0
Good,84,200.0,12,69,18,0,0,100,125.0,7,7,18,0,39,13.0,0,0,1.0,86.0,2.0,2.0,0.0,40.0
Good,66,173.0,8,58,17,2,1,85,2.0,2,2,20,4,45,0.0,0,0,7.0,68.0,3.0,2.0,0.0,75.0
Bad,75,175.0,2,70,13,1,0,93,51.0,7,2,15,1,53,0.0,1,1,57.0,79.0,1.0,3.0,0.5,57.0
Bad,83,144.0,18,68,13,0,0,100,125.0,7,7,13,0,23,0.0,0,0,3.0,,3.0,2.0,0.0,100.0
Good,66,256.0,9,76,32,0,0,97,16.0,7,6,33,1,30,0.0,0,0,34.0,60.0,6.0,3.0,3.0,45.0
Good,65,256.0,15,52,17,0,0,100,125.0,7,7,19,0,29,2.0,5,5,57.0,79.0,2.0,4.0,2.0,60.0
Good,90,152.0,28,107,3,0,0,100,125.0,7,7,3,0,67,13.0,0,0,0.0,5.0,0.0,1.0,0.0,50.0
Bad,81,598.0,4,205,37,0,0,100,125.0,7,7,37,2,22,0.0,1,1,28.0,7.0,7.0,4.0,1.0,50.0
Bad,55,171.0,10,65,52,1,1,98,1.0,6,6,54,1,69,1.0,2,2,83.0,56.0,6.0,12.0,2.0,90.0
Bad,75,177.0,4,99,38,0,0,97,2.0,6,6,38,2,32,36.0,0,0,13.0,100.0,6.0,2.0,1.0,50.0
Good,84,158.0,13,74,14,0,0,100,125.0,7,7,16,0,63,0.0,1,1,16.0,82.0,2.0,3.0,0.0,71.0
Good,84,313.0,6,103,25,0,0,100,125.0,7,7,25,2,24,11.0,0,0,10.0,92.0,4.0,3.0,0.0,70.0
Good,83,167.0,16,69,38,1,0,98,66.0,7,5,40,0,40,0.0,0,0,9.0,,3.0,1.0,0.0,36.0
Bad,74,343.0,6,93,34,0,0,97,15.0,7,6,44,3,35,0.0,3,3,2.0,73.0,5.0,3.0,1.0,42.0
Good,89,265.0,30,129,17,0,0,100,125.0,7,7,17,0,12,0.0,1,0,9.0,,5.0,1.0,0.0,50.0
Bad,55,144.0,4,84,20,3,0,83,2.0,5,5,23,1,43,0.0,0,0,33.0,,8.0,1.0,1.0,69.0
